编号,名称,描述,法力,力道,身法,元气,生命,物攻,魔攻,物防,魔防,霸道,会心,卸力,化解,力道%,身法%,元气%
24110007,判官100级武器第7级强化属性,,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0
24110008,判官100级武器第8级强化属性,,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0
24110009,判官100级武器第9级强化属性,,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0
24110010,判官100级武器第10级强化属性,,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0
24110011,判官100级武器第11级强化属性,,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0
24110012,判官100级武器第12级强化属性,,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0
24110013,判官100级武器第13级强化属性,,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0
24110014,判官100级武器第14级强化属性,,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0
24201001,判官10级头盔第1级强化属性,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
24201002,判官10级头盔第2级强化属性,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
24201003,判官10级头盔第3级强化属性,,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
24201004,判官10级头盔第4级强化属性,,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
24201005,判官10级头盔第5级强化属性,,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
24202001,判官20级头盔第1级强化属性,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
24202002,判官20级头盔第2级强化属性,,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
24202003,判官20级头盔第3级强化属性,,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0
24202004,判官20级头盔第4级强化属性,,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0
24202005,判官20级头盔第5级强化属性,,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0
24202006,判官20级头盔第6级强化属性,,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0
24203001,判官30级头盔第1级强化属性,,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
24203002,判官30级头盔第2级强化属性,,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0
24203003,判官30级头盔第3级强化属性,,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0
24203004,判官30级头盔第4级强化属性,,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0
24203005,判官30级头盔第5级强化属性,,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0
24203006,判官30级头盔第6级强化属性,,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0
24203007,判官30级头盔第7级强化属性,,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0
24204001,判官40级头盔第1级强化属性,,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0
24204002,判官40级头盔第2级强化属性,,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0
24204003,判官40级头盔第3级强化属性,,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0
24204004,判官40级头盔第4级强化属性,,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0
24204005,判官40级头盔第5级强化属性,,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0
24204006,判官40级头盔第6级强化属性,,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0
24204007,判官40级头盔第7级强化属性,,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0
24204008,判官40级头盔第8级强化属性,,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0
24205001,判官50级头盔第1级强化属性,,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0
24205002,判官50级头盔第2级强化属性,,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0
24205003,判官50级头盔第3级强化属性,,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0
24205004,判官50级头盔第4级强化属性,,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0
24205005,判官50级头盔第5级强化属性,,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0
24205006,判官50级头盔第6级强化属性,,0,0,0,0,748,0,0,0,0,0,0,0,0,0,0,0
24205007,判官50级头盔第7级强化属性,,0,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0
24205008,判官50级头盔第8级强化属性,,0,0,0,0,997,0,0,0,0,0,0,0,0,0,0,0
24205009,判官50级头盔第9级强化属性,,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,0
24206001,判官60级头盔第1级强化属性,,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0
24206002,判官60级头盔第2级强化属性,,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0
24206003,判官60级头盔第3级强化属性,,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0
24206004,判官60级头盔第4级强化属性,,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0
24206005,判官60级头盔第5级强化属性,,0,0,0,0,794,0,0,0,0,0,0,0,0,0,0,0
24206006,判官60级头盔第6级强化属性,,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0
24206007,判官60级头盔第7级强化属性,,0,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0
24206008,判官60级头盔第8级强化属性,,0,0,0,0,1271,0,0,0,0,0,0,0,0,0,0,0
24206009,判官60级头盔第9级强化属性,,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,0
24206010,判官60级头盔第10级强化属性,,0,0,0,0,1589,0,0,0,0,0,0,0,0,0,0,0
24207001,判官70级头盔第1级强化属性,,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0
24207002,判官70级头盔第2级强化属性,,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0
24207003,判官70级头盔第3级强化属性,,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0
24207004,判官70级头盔第4级强化属性,,0,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0
24207005,判官70级头盔第5级强化属性,,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0
24207006,判官70级头盔第6级强化属性,,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0
24207007,判官70级头盔第7级强化属性,,0,0,0,0,1358,0,0,0,0,0,0,0,0,0,0,0
24207008,判官70级头盔第8级强化属性,,0,0,0,0,1552,0,0,0,0,0,0,0,0,0,0,0
24207009,判官70级头盔第9级强化属性,,0,0,0,0,1746,0,0,0,0,0,0,0,0,0,0,0
24207010,判官70级头盔第10级强化属性,,0,0,0,0,1940,0,0,0,0,0,0,0,0,0,0,0
24207011,判官70级头盔第11级强化属性,,0,0,0,0,2135,0,0,0,0,0,0,0,0,0,0,0
24208001,判官80级头盔第1级强化属性,,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0
24208002,判官80级头盔第2级强化属性,,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0
24208003,判官80级头盔第3级强化属性,,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0
24208004,判官80级头盔第4级强化属性,,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0
24208005,判官80级头盔第5级强化属性,,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0
24208006,判官80级头盔第6级强化属性,,0,0,0,0,1381,0,0,0,0,0,0,0,0,0,0,0
24208007,判官80级头盔第7级强化属性,,0,0,0,0,1611,0,0,0,0,0,0,0,0,0,0,0
24208008,判官80级头盔第8级强化属性,,0,0,0,0,1841,0,0,0,0,0,0,0,0,0,0,0
24208009,判官80级头盔第9级强化属性,,0,0,0,0,2071,0,0,0,0,0,0,0,0,0,0,0
24208010,判官80级头盔第10级强化属性,,0,0,0,0,2301,0,0,0,0,0,0,0,0,0,0,0
24208011,判官80级头盔第11级强化属性,,0,0,0,0,2531,0,0,0,0,0,0,0,0,0,0,0
24208012,判官80级头盔第12级强化属性,,0,0,0,0,2762,0,0,0,0,0,0,0,0,0,0,0
24209001,判官90级头盔第1级强化属性,,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0
24209002,判官90级头盔第2级强化属性,,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0
24209003,判官90级头盔第3级强化属性,,0,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0
24209004,判官90级头盔第4级强化属性,,0,0,0,0,1068,0,0,0,0,0,0,0,0,0,0,0
24209005,判官90级头盔第5级强化属性,,0,0,0,0,1335,0,0,0,0,0,0,0,0,0,0,0
24209006,判官90级头盔第6级强化属性,,0,0,0,0,1602,0,0,0,0,0,0,0,0,0,0,0
24209007,判官90级头盔第7级强化属性,,0,0,0,0,1869,0,0,0,0,0,0,0,0,0,0,0
24209008,判官90级头盔第8级强化属性,,0,0,0,0,2136,0,0,0,0,0,0,0,0,0,0,0
24209009,判官90级头盔第9级强化属性,,0,0,0,0,2403,0,0,0,0,0,0,0,0,0,0,0
24209010,判官90级头盔第10级强化属性,,0,0,0,0,2670,0,0,0,0,0,0,0,0,0,0,0
24209011,判官90级头盔第11级强化属性,,0,0,0,0,2937,0,0,0,0,0,0,0,0,0,0,0
24209012,判官90级头盔第12级强化属性,,0,0,0,0,3204,0,0,0,0,0,0,0,0,0,0,0
24209013,判官90级头盔第13级强化属性,,0,0,0,0,3472,0,0,0,0,0,0,0,0,0,0,0
24210001,判官100级头盔第1级强化属性,,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0
24210002,判官100级头盔第2级强化属性,,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0
24210003,判官100级头盔第3级强化属性,,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0
24210004,判官100级头盔第4级强化属性,,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0
24210005,判官100级头盔第5级强化属性,,0,0,0,0,1522,0,0,0,0,0,0,0,0,0,0,0
24210006,判官100级头盔第6级强化属性,,0,0,0,0,1826,0,0,0,0,0,0,0,0,0,0,0
24210007,判官100级头盔第7级强化属性,,0,0,0,0,2131,0,0,0,0,0,0,0,0,0,0,0
24210008,判官100级头盔第8级强化属性,,0,0,0,0,2435,0,0,0,0,0,0,0,0,0,0,0
24210009,判官100级头盔第9级强化属性,,0,0,0,0,2739,0,0,0,0,0,0,0,0,0,0,0
24210010,判官100级头盔第10级强化属性,,0,0,0,0,3044,0,0,0,0,0,0,0,0,0,0,0
24210011,判官100级头盔第11级强化属性,,0,0,0,0,3348,0,0,0,0,0,0,0,0,0,0,0
24210012,判官100级头盔第12级强化属性,,0,0,0,0,3653,0,0,0,0,0,0,0,0,0,0,0
24210013,判官100级头盔第13级强化属性,,0,0,0,0,3957,0,0,0,0,0,0,0,0,0,0,0
24210014,判官100级头盔第14级强化属性,,0,0,0,0,4262,0,0,0,0,0,0,0,0,0,0,0
24301001,判官10级衣服第1级强化属性,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24301002,判官10级衣服第2级强化属性,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
24301003,判官10级衣服第3级强化属性,,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
24301004,判官10级衣服第4级强化属性,,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
24301005,判官10级衣服第5级强化属性,,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
24302001,判官20级衣服第1级强化属性,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
24302002,判官20级衣服第2级强化属性,,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
24302003,判官20级衣服第3级强化属性,,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
24302004,判官20级衣服第4级强化属性,,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
24302005,判官20级衣服第5级强化属性,,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
24302006,判官20级衣服第6级强化属性,,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
24303001,判官30级衣服第1级强化属性,,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
24303002,判官30级衣服第2级强化属性,,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
24303003,判官30级衣服第3级强化属性,,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
24303004,判官30级衣服第4级强化属性,,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
24303005,判官30级衣服第5级强化属性,,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
24303006,判官30级衣服第6级强化属性,,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
24303007,判官30级衣服第7级强化属性,,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
24304001,判官40级衣服第1级强化属性,,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
24304002,判官40级衣服第2级强化属性,,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
24304003,判官40级衣服第3级强化属性,,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
24304004,判官40级衣服第4级强化属性,,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
24304005,判官40级衣服第5级强化属性,,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
24304006,判官40级衣服第6级强化属性,,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
24304007,判官40级衣服第7级强化属性,,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
24304008,判官40级衣服第8级强化属性,,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0
24305001,判官50级衣服第1级强化属性,,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
24305002,判官50级衣服第2级强化属性,,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
24305003,判官50级衣服第3级强化属性,,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
24305004,判官50级衣服第4级强化属性,,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0
24305005,判官50级衣服第5级强化属性,,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
24305006,判官50级衣服第6级强化属性,,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0
24305007,判官50级衣服第7级强化属性,,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
24305008,判官50级衣服第8级强化属性,,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
24305009,判官50级衣服第9级强化属性,,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0
24306001,判官60级衣服第1级强化属性,,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
24306002,判官60级衣服第2级强化属性,,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
24306003,判官60级衣服第3级强化属性,,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
24306004,判官60级衣服第4级强化属性,,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
24306005,判官60级衣服第5级强化属性,,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
24306006,判官60级衣服第6级强化属性,,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0
24306007,判官60级衣服第7级强化属性,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
24306008,判官60级衣服第8级强化属性,,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0
24306009,判官60级衣服第9级强化属性,,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0
24306010,判官60级衣服第10级强化属性,,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0
24307001,判官70级衣服第1级强化属性,,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
24307002,判官70级衣服第2级强化属性,,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
24307003,判官70级衣服第3级强化属性,,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
24307004,判官70级衣服第4级强化属性,,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
24307005,判官70级衣服第5级强化属性,,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
24307006,判官70级衣服第6级强化属性,,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0
24307007,判官70级衣服第7级强化属性,,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0
24307008,判官70级衣服第8级强化属性,,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0
24307009,判官70级衣服第9级强化属性,,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0
24307010,判官70级衣服第10级强化属性,,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0
24307011,判官70级衣服第11级强化属性,,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0
24308001,判官80级衣服第1级强化属性,,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
24308002,判官80级衣服第2级强化属性,,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
24308003,判官80级衣服第3级强化属性,,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0
24308004,判官80级衣服第4级强化属性,,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
24308005,判官80级衣服第5级强化属性,,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0
24308006,判官80级衣服第6级强化属性,,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0
24308007,判官80级衣服第7级强化属性,,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0
24308008,判官80级衣服第8级强化属性,,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0
24308009,判官80级衣服第9级强化属性,,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0
24308010,判官80级衣服第10级强化属性,,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0
24308011,判官80级衣服第11级强化属性,,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0
24308012,判官80级衣服第12级强化属性,,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0
24309001,判官90级衣服第1级强化属性,,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
24309002,判官90级衣服第2级强化属性,,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
24309003,判官90级衣服第3级强化属性,,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
24309004,判官90级衣服第4级强化属性,,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0
24309005,判官90级衣服第5级强化属性,,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0
24309006,判官90级衣服第6级强化属性,,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0
24309007,判官90级衣服第7级强化属性,,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0
24309008,判官90级衣服第8级强化属性,,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0
24309009,判官90级衣服第9级强化属性,,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0
24309010,判官90级衣服第10级强化属性,,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0
24309011,判官90级衣服第11级强化属性,,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0
24309012,判官90级衣服第12级强化属性,,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0
24309013,判官90级衣服第13级强化属性,,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0
24310001,判官100级衣服第1级强化属性,,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
24310002,判官100级衣服第2级强化属性,,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0
24310003,判官100级衣服第3级强化属性,,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
24310004,判官100级衣服第4级强化属性,,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0
24310005,判官100级衣服第5级强化属性,,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0
24310006,判官100级衣服第6级强化属性,,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0
24310007,判官100级衣服第7级强化属性,,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0
24310008,判官100级衣服第8级强化属性,,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0
24310009,判官100级衣服第9级强化属性,,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0
24310010,判官100级衣服第10级强化属性,,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0
24310011,判官100级衣服第11级强化属性,,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0
24310012,判官100级衣服第12级强化属性,,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0
24310013,判官100级衣服第13级强化属性,,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0
24310014,判官100级衣服第14级强化属性,,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0
24401001,判官10级鞋第1级强化属性,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
24401002,判官10级鞋第2级强化属性,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
24401003,判官10级鞋第3级强化属性,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
24401004,判官10级鞋第4级强化属性,,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
24401005,判官10级鞋第5级强化属性,,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
24402001,判官20级鞋第1级强化属性,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
24402002,判官20级鞋第2级强化属性,,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
24402003,判官20级鞋第3级强化属性,,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
24402004,判官20级鞋第4级强化属性,,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0
24402005,判官20级鞋第5级强化属性,,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0
24402006,判官20级鞋第6级强化属性,,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0
24403001,判官30级鞋第1级强化属性,,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0
24403002,判官30级鞋第2级强化属性,,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0
24403003,判官30级鞋第3级强化属性,,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0
24403004,判官30级鞋第4级强化属性,,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0
24403005,判官30级鞋第5级强化属性,,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0
24403006,判官30级鞋第6级强化属性,,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0
24403007,判官30级鞋第7级强化属性,,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0
24404001,判官40级鞋第1级强化属性,,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
24404002,判官40级鞋第2级强化属性,,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0
24404003,判官40级鞋第3级强化属性,,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0
24404004,判官40级鞋第4级强化属性,,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0
24404005,判官40级鞋第5级强化属性,,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0
24404006,判官40级鞋第6级强化属性,,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0
24404007,判官40级鞋第7级强化属性,,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0
24404008,判官40级鞋第8级强化属性,,0,0,0,0,629,0,0,0,0,0,0,0,0,0,0,0
24405001,判官50级鞋第1级强化属性,,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0
24405002,判官50级鞋第2级强化属性,,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0
24405003,判官50级鞋第3级强化属性,,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0
24405004,判官50级鞋第4级强化属性,,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0
24405005,判官50级鞋第5级强化属性,,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0
24405006,判官50级鞋第6级强化属性,,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0
24405007,判官50级鞋第7级强化属性,,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0
24405008,判官50级鞋第8级强化属性,,0,0,0,0,849,0,0,0,0,0,0,0,0,0,0,0
24405009,判官50级鞋第9级强化属性,,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0
24406001,判官60级鞋第1级强化属性,,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0
24406002,判官60级鞋第2级强化属性,,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0
24406003,判官60级鞋第3级强化属性,,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0
24406004,判官60级鞋第4级强化属性,,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0
24406005,判官60级鞋第5级强化属性,,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0
24406006,判官60级鞋第6级强化属性,,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0
24406007,判官60级鞋第7级强化属性,,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0
24406008,判官60级鞋第8级强化属性,,0,0,0,0,1082,0,0,0,0,0,0,0,0,0,0,0
24406009,判官60级鞋第9级强化属性,,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0
24406010,判官60级鞋第10级强化属性,,0,0,0,0,1353,0,0,0,0,0,0,0,0,0,0,0
24407001,判官70级鞋第1级强化属性,,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0
24407002,判官70级鞋第2级强化属性,,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0
24407003,判官70级鞋第3级强化属性,,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0
24407004,判官70级鞋第4级强化属性,,0,0,0,0,661,0,0,0,0,0,0,0,0,0,0,0
24407005,判官70级鞋第5级强化属性,,0,0,0,0,826,0,0,0,0,0,0,0,0,0,0,0
24407006,判官70级鞋第6级强化属性,,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0
24407007,判官70级鞋第7级强化属性,,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0
24407008,判官70级鞋第8级强化属性,,0,0,0,0,1322,0,0,0,0,0,0,0,0,0,0,0
24407009,判官70级鞋第9级强化属性,,0,0,0,0,1488,0,0,0,0,0,0,0,0,0,0,0
24407010,判官70级鞋第10级强化属性,,0,0,0,0,1653,0,0,0,0,0,0,0,0,0,0,0
24407011,判官70级鞋第11级强化属性,,0,0,0,0,1819,0,0,0,0,0,0,0,0,0,0,0
24408001,判官80级鞋第1级强化属性,,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0
24408002,判官80级鞋第2级强化属性,,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0
24408003,判官80级鞋第3级强化属性,,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0
24408004,判官80级鞋第4级强化属性,,0,0,0,0,784,0,0,0,0,0,0,0,0,0,0,0
24408005,判官80级鞋第5级强化属性,,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0
24408006,判官80级鞋第6级强化属性,,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0
24408007,判官80级鞋第7级强化属性,,0,0,0,0,1372,0,0,0,0,0,0,0,0,0,0,0
24408008,判官80级鞋第8级强化属性,,0,0,0,0,1568,0,0,0,0,0,0,0,0,0,0,0
24408009,判官80级鞋第9级强化属性,,0,0,0,0,1764,0,0,0,0,0,0,0,0,0,0,0
24408010,判官80级鞋第10级强化属性,,0,0,0,0,1960,0,0,0,0,0,0,0,0,0,0,0
24408011,判官80级鞋第11级强化属性,,0,0,0,0,2156,0,0,0,0,0,0,0,0,0,0,0
24408012,判官80级鞋第12级强化属性,,0,0,0,0,2353,0,0,0,0,0,0,0,0,0,0,0
24409001,判官90级鞋第1级强化属性,,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0
